timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 13:47:38.004",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\HDAudBus\Parameters\Wdf' checksum changed.
Old md5sum was: 'e539e5588ade4fc950140b672a9b4a8e'
New md5sum is : 'c275c91ca37799a2aa9ac60794b8f614'
Old sha1sum was: '5aff67900ed86033e13fa95ee5d8cddc4bf716f6'
New sha1sum is : '27e1f817f3fc20b0a749b234646a654859adc1ac'
"
"Apr 4, 2020 @ 13:47:37.395",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\gencounter\Parameters\Wdf' checksum changed.
Old md5sum was: 'a34f50b409ff791b8ca73db3b1ca0733'
New md5sum is : '2beea24891ee67800c0545caeb2000c6'
Old sha1sum was: 'ef5248efe24d4437def466d2cef3295c26f57ead'
New sha1sum is : '0de58e5e9b71059260e9c9fb37cd996f349c7bd0'
"
"Apr 4, 2020 @ 13:47:34.036",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:47:28.770",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\EventLog\State' checksum changed.
Old md5sum was: 'e8b3d7e25b8fb5dd2b186e056006ffd4'
New md5sum is : '7240a18caf04121b74478e7da7e0eddf'
Old sha1sum was: 'b321fb7cfcf165737c087395491ecb8c386e9010'
New sha1sum is : 'de75c9a9e7459b4a609c6d023194a2488b0674b2'
"
"Apr 4, 2020 @ 13:47:21.504",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DsmSvc\State' checksum changed.
Old md5sum was: '63455c20cde548e288f8dba9a00dd33b'
New md5sum is : '760a4bada178d4343aea42eba0843c6c'
Old sha1sum was: '28420a387fa959459932089a9494e96fcc914797'
New sha1sum is : '52d66aacb149b05f27bc68ebecd67c04e65c70a2'
"
"Apr 4, 2020 @ 13:47:20.707",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Dnscache\Parameters\Probe\{a957488a-bcc3-4136-8332-2c86058caa77}' checksum changed.
Old md5sum was: '5d59f40e382b0bd5741c31b20dc9877d'
New md5sum is : 'f4721c75c25d3019e13727c4564e8b2f'
Old sha1sum was: '35a4b6689f4c1e64b1097375ed53f30de17c00da'
New sha1sum is : 'a084eccb913b5a0a6c991c6e9802c2585257376e'
"
"Apr 4, 2020 @ 13:47:19.239",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DevicesFlowUserSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:19.223",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DevicesFlowUserSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:19.161",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DevicePickerUserSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:19.145",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DevicePickerUserSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:18.926",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DeviceAssociationBrokerSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:18.897",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DeviceAssociationBrokerSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:18.286",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CredentialEnrollmentManagerUserSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:18.271",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CredentialEnrollmentManagerUserSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:18.122",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\ConsentUxUserSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:18.113",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\ConsentUxUserSvc_29d4d\Security' was added.
"
