"@timestamp",message,"log.file.path"
"May 28, 2020 @ 13:21:12.761","05/28-13:21:11.807254  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49693 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:11.760","05/28-13:21:09.190302  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49692 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:10.711","05/28/2020-13:21:06.865775  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49691 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:10.711","05/28/2020-13:21:09.470738  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49692 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:08.757","05/28-13:21:06.590259  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49691 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:05.756","05/28-13:21:02.806693  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49690 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:03.709","05/28/2020-13:21:03.260718  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49690 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:02.753","05/28-13:21:00.189766  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49689 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:00.707","05/28/2020-13:21:00.490952  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49689 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:59.751","05/28-13:20:57.519712  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49688 -> 58.158.177.102:80","/var/log/snort/alert.fast"
