timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 12:29:08.149",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\vdrvroot\Parameters\Wdf' checksum changed.
Old md5sum was: 'e6d41cd8615634f93c4cf78ea8862dc8'
New md5sum is : '07296bfe9f0bfcb49184a0b811972f99'
Old sha1sum was: '50d3eb76f8f9eeee924a8a583af5025746f5f498'
New sha1sum is : '79ebd2b7c3546c7dddfff35ea466cc526594382b'
"
"Apr 4, 2020 @ 12:29:07.492",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_2a0e1' was added.
"
"Apr 4, 2020 @ 12:29:07.477",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_2a0e1\Security' was added.
"
"Apr 4, 2020 @ 12:29:07.368",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBXHCI\Parameters\Wdf' checksum changed.
Old md5sum was: '5da37fb8bb1a89d035cf6d0905e889d3'
New md5sum is : 'e0538a3443440110bf3825bfec5e6075'
Old sha1sum was: 'b6d193698efd60175765020280fb2fc3e8647550'
New sha1sum is : 'e5f255d3aa180bfe02848c7ccd3f55a84325f55b'
"
"Apr 4, 2020 @ 12:29:07.180",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\USBHUB3\Parameters\Wdf' checksum changed.
Old md5sum was: '52c5b7e643b603f7da07fb87724fd62b'
New md5sum is : '6021abc3342bd637a1f3e58eadc384a5'
Old sha1sum was: '00c98b4e3acc758733e97e05b2546ad10364a5e7'
New sha1sum is : '74fbcbb06a5825a47e0950f3cb6ac1c03e265d00'
"
"Apr 4, 2020 @ 12:29:06.664",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_2a0e1' was added.
"
"Apr 4, 2020 @ 12:29:06.646",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_2a0e1\Security' was added.
"
"Apr 4, 2020 @ 12:29:05.977",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\umbus\Parameters\Wdf' checksum changed.
Old md5sum was: 'd0b31528150e0bcaaf1ca31e909625ae'
New md5sum is : 'f831bbb4b4e3aa71d36063136978431b'
Old sha1sum was: '4ac9c45fb8b59e455e5cffb095693fd8ba73e2e9'
New sha1sum is : 'fb7819f8ec0c6d77e1fe97dbacc01e76e3e5be86'
"
"Apr 4, 2020 @ 12:29:04.133",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{10cb9356-9dd8-4d03-959f-611e879a11a6}' checksum changed.
Old md5sum was: '7d19d8f0e41d39b56e1a42b1146f6570'
New md5sum is : '1ff9d2bcd158e032084b85e368bbbc93'
Old sha1sum was: 'b0ae33cc6b87e9feb6cdb0b2cdbfbc0abd7c12e3'
New sha1sum is : '654be9998073db5fb7eb1b02ce093e6875191b0a'
"
"Apr 4, 2020 @ 12:28:58.586",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\srvnet\Parameters' checksum changed.
Old md5sum was: '3d3a643354245020081ae89e531e5f43'
New md5sum is : 'b7992042185fc6ec85e366e31893c993'
Old sha1sum was: '388ea0001ce3a9c23720ba87edb0e1b1510b7b4e'
New sha1sum is : '7da8cd2c012f8b55d1d5ce23f9ccdf45379c55ad'
"
"Apr 4, 2020 @ 12:28:56.772",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\FirewallRules' checksum changed.
Old md5sum was: '52fb5d0b7da48f73ac3fbe434dfe1f0a'
New md5sum is : '59c3dc20f6ca7bf5d3e4497b0fbb523a'
Old sha1sum was: 'de2f6be9dbec4b2bb8df4ca2490e582bcd21add6'
New sha1sum is : '21fd5eb9f4366c737be868e4d053798ae111f329'
"
"Apr 4, 2020 @ 12:28:56.351",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules' checksum changed.
Old md5sum was: 'b37d88849329a851787efa3b6513665f'
New md5sum is : 'd4e36f3a15fd44265b8465f9557ea88d'
Old sha1sum was: 'c9c09efe3bf177be5acc55723783810cf39fbd8a'
New sha1sum is : '452ac62117c54d53212a78a079263bb0875839f1'
"
"Apr 4, 2020 @ 12:28:56.273",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch2' checksum changed.
Old md5sum was: '5de0ef21cee3c7b87f2fab30b8b06e2e'
New md5sum is : 'dc9f9e3fba782230828c1350ebdd6327'
Old sha1sum was: '95450da791d27d0a0e456663988211c24b30dbec'
New sha1sum is : 'df82c4e7b328c25ab2a829fbb36079904d347a00'
"
"Apr 4, 2020 @ 12:28:56.257",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch' checksum changed.
Old md5sum was: '91ff903577114e23bb94c88a6e53fb30'
New md5sum is : 'b53bf2f3f61682c350be645945192116'
Old sha1sum was: 'e2bf40dac64a1e7b7e118a7c1d10223c8a45082b'
New sha1sum is : 'b5f04a7f7762c384b95b4d56b16e28e5cc863241'
"
"Apr 4, 2020 @ 12:28:51.820",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\rdyboost\Diagnostics' checksum changed.
Old md5sum was: 'b94f00fb649e58278413ddb218687776'
New md5sum is : 'fa742e572a0ab3ad838cdc36f548a2e7'
Old sha1sum was: '4e632334dcf3fb5f87a71c66694dd9a1eb5fdbc7'
New sha1sum is : '4bd92b98f3142283ddbfa0b8875cc0e446f8a651'
"
"Apr 4, 2020 @ 12:28:49.867",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_2a0e1' was added.
"
"Apr 4, 2020 @ 12:28:49.851",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PrintWorkflowUserSvc_2a0e1\Security' was added.
"
"Apr 4, 2020 @ 12:28:49.319",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_2a0e1' was added.
"
"Apr 4, 2020 @ 12:28:49.304",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\PimIndexMaintenanceSvc_2a0e1\Security' was added.
"
"Apr 4, 2020 @ 12:28:47.416",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_2a0e1' was added.
"
"Apr 4, 2020 @ 12:28:47.403",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_2a0e1\Security' was added.
"
"Apr 4, 2020 @ 12:28:44.632",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NdisVirtualBus\Parameters\Wdf' checksum changed.
Old md5sum was: '8d9ddf4cd30cb1f7e5ac293f30aecda3'
New md5sum is : 'a34f50b409ff791b8ca73db3b1ca0733'
Old sha1sum was: 'dff2cd5fdb172279d12d40cd687230eba840bace'
New sha1sum is : 'ef5248efe24d4437def466d2cef3295c26f57ead'
"
"Apr 4, 2020 @ 12:28:43.364",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\mssmbios\Data' checksum changed.
Old md5sum was: '56e9f0a7add3da7f007b812f71fed075'
New md5sum is : '1e6e38e0129cb1178036ce2d2de63896'
Old sha1sum was: 'e34bbe63c9ca7e70f4e38fca2b5911ca2863966f'
New sha1sum is : 'c69f3fa6abcfb59085cdd1e6fe3925b88bf1eb8a'
"
"Apr 4, 2020 @ 12:28:43.044",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\msisadrv\Parameters\Wdf' checksum changed.
Old md5sum was: '3ee67f24b1bf3a60668b6b9b7ceb57db'
New md5sum is : '9899f0d851a544118a1df10180c84633'
Old sha1sum was: '2c7378d3b213a72ef12d4a556bce6bdcc0354b44'
New sha1sum is : '495d124fb9a33489fca070669c53f629787f537f'
"
"Apr 4, 2020 @ 12:28:42.012",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\monitor\Parameters\Wdf' checksum changed.
Old md5sum was: '5b2ea53198ac98428f3237ad2688a712'
New md5sum is : '59b12546060e1abacf07181ecdab1088'
Old sha1sum was: '4b6855e7d75db3d7382571a292c5590fa9c45d1b'
New sha1sum is : 'd4b00ea9b57b4fa8d52f007174e8a4fa9c806927'
"
"Apr 4, 2020 @ 12:28:41.895",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_2a0e1' was added.
"
"Apr 4, 2020 @ 12:28:41.872",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_2a0e1\TriggerInfo\0' was added.
"
"Apr 4, 2020 @ 12:28:41.856",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_2a0e1\Security' was added.
"
"Apr 4, 2020 @ 12:28:35.294",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanServer\Parameters' checksum changed.
Old md5sum was: '4f5d0a4201320eacd047d993b51c860c'
New md5sum is : 'ae2d280bcb1d70c8d8c9440f99e7346f'
Old sha1sum was: 'ebc1c34aea8b5ff39cdf566769ab687e8678327b'
New sha1sum is : '5e5d8fc3198d01bfeb0b40c7b5b2377aa397ca0b'
"
